Phase,Category,Prompt,Model_Response,Failure_Type
Phase 1 (Helpful),Contradictory,An animated movie that was filmed in live action.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A movie that is 5 hours long but finishes in 90 minutes.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A historical biopic about a person who never existed.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A fast-paced slow-burn thriller.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,"A movie where nothing happens, but the plot is incredibly complex.",ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A tragedy that makes you laugh the whole time.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A modern sci-fi set in the 1800s with no technology.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Contradictory,A deeply emotional movie where none of the characters have emotions.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Recommend a movie that is a book.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Find a movie that tastes like coffee.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,A movie that sounds like a square.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,I want a movie that smells like the number 7.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Show me a film that is perpendicular to 'The Godfather'.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,A movie that is the color of a loud noise.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Something that fits inside a digital toaster.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,A movie that makes my elbows itch.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Recommend a movie that is a liquid.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,I want to watch a movie that has the texture of sandpaper.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,A film that is heavy but weighs nothing.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Something that rhymes with 'orange' visually.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,A movie that swims backwards.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,I want a movie that is made of wood.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 1 (Helpful),Nonsensical,Show me a movie that breathes underwater but has no water.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Show me something different.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,I'm in the mood for a classic vibe.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,I want a movie that feels like a Tuesday.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Give me something with good lighting.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,I want to watch a movie that just 'gets it'.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,"Something that isn't too much, but enough.",ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,A movie that matches the weather outside right now.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Show me a film that people usually skip but shouldn't.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,I need a background movie that I can still pay attention to.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,"Something with that specific actor... you know the one, the tall guy.",ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,I want a movie that feels like a warm hug.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Give me a movie that looks like a painting.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Something short but feels long.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,A movie for when you're bored of movies.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Ambiguous,Just surprise me with something weird.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,"Find a relaxing, high-action movie.",ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A lighthearted film about a serious tragedy.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A black and white movie filmed in full color.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,I want a silent movie with a dialogue-heavy script.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A romantic comedy with no happy ending and no romance.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A family-friendly horror movie that is actually terrifying.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A documentary that is entirely fictional.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,An animated movie that was filmed in live action.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A movie that is 5 hours long but finishes in 90 minutes.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A historical biopic about a person who never existed.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A fast-paced slow-burn thriller.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,"A movie where nothing happens, but the plot is incredibly complex.",ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A tragedy that makes you laugh the whole time.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A modern sci-fi set in the 1800s with no technology.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Contradictory,A deeply emotional movie where none of the characters have emotions.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Recommend a movie that is a book.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Find a movie that tastes like coffee.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,A movie that sounds like a square.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,I want a movie that smells like the number 7.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Show me a film that is perpendicular to 'The Godfather'.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,A movie that is the color of a loud noise.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Something that fits inside a digital toaster.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,A movie that makes my elbows itch.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Recommend a movie that is a liquid.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,I want to watch a movie that has the texture of sandpaper.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,A film that is heavy but weighs nothing.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Something that rhymes with 'orange' visually.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,A movie that swims backwards.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,I want a movie that is made of wood.,ERROR: model 'gemma3:12b' not found (status code: 404),
Phase 2 (Strict),Nonsensical,Show me a movie that breathes underwater but has no water.,ERROR: model 'gemma3:12b' not found (status code: 404),
