Model,Phase,Category,Prompt,Model_Response,Failure_Type
gemma2,Phase 1 (Helpful),Contradictory,A movie that is 5 hours long but finishes in 90 minutes.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A historical biopic about a person who never existed.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A fast-paced slow-burn thriller.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,"A movie where nothing happens, but the plot is incredibly complex.",ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A tragedy that makes you laugh the whole time.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A modern sci-fi set in the 1800s with no technology.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A deeply emotional movie where none of the characters have emotions.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Recommend a movie that is a book.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Find a movie that tastes like coffee.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,A movie that sounds like a square.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,I want a movie that smells like the number 7.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Show me a film that is perpendicular to 'The Godfather'.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,A movie that is the color of a loud noise.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Something that fits inside a digital toaster.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,A movie that makes my elbows itch.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Recommend a movie that is a liquid.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,I want to watch a movie that has the texture of sandpaper.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,A film that is heavy but weighs nothing.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Something that rhymes with 'orange' visually.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,A movie that swims backwards.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,I want a movie that is made of wood.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Nonsensical,Show me a movie that breathes underwater but has no water.,ERROR: model 'gemma2' not found (status code: 404),
